DateTime,Latitude_degrees_north,Longitude_degrees_east
2012-01-14 14:23:58,-60.642586,-44.589806
2012-01-14 14:27:57,-60.640978,-44.590111
2012-01-14 14:36:30,-60.63842,-44.590108
2012-01-14 14:42:39,-60.631869,-44.590184
2012-01-14 14:49:32,-60.625282,-44.591843
2012-01-14 14:54:17,-60.620047,-44.59393
2012-01-14 14:59:24,-60.616654,-44.597189
2012-01-14 15:04:23,-60.612143,-44.596948
2012-01-14 15:09:11,-60.608601,-44.598981
2012-01-14 15:21:41,-60.597557,-44.601452
2012-01-14 15:35:33,-60.582492,-44.600293
2012-01-14 15:41:26,-60.576984,-44.599134
2012-01-14 15:55:29,-60.566275,-44.593206
2012-01-14 16:00:16,-60.564866,-44.592772
2012-01-14 16:06:04,-60.56348,-44.592024
2012-01-14 16:10:04,-60.561586,-44.591497
2012-01-14 16:16:50,-60.557371,-44.588225
2012-01-14 16:23:48,-60.555808,-44.586607
2012-01-14 16:30:29,-60.55563,-44.588293
2012-01-14 16:35:02,-60.555054,-44.590158
2012-01-14 16:39:42,-60.555274,-44.590565
2012-01-14 16:44:31,-60.555319,-44.589335
2012-01-14 16:48:53,-60.553887,-44.589607
2012-01-14 16:53:15,-60.552305,-44.588133
2012-01-14 16:57:16,-60.551679,-44.587623
2012-01-14 17:01:17,-60.551096,-44.586532
2012-01-14 17:05:18,-60.550688,-44.585804
2012-01-14 17:09:31,-60.550623,-44.586132
2012-01-14 17:13:31,-60.549234,-44.584707
2012-01-14 17:30:17,-60.555144,-44.570973
2012-01-14 17:42:23,-60.551329,-44.551654
2012-01-14 17:46:50,-60.551594,-44.546353
2012-01-15 00:04:28,-60.431272,-44.511646
2012-01-15 00:10:02,-60.428262,-44.510286
2012-01-15 00:18:38,-60.424482,-44.506573
2012-01-15 00:24:09,-60.426024,-44.510007
2012-01-15 00:34:48,-60.421242,-44.518896
2012-01-15 01:16:32,-60.433297,-44.498747
2012-01-15 02:38:25,-60.443198,-44.492821
2012-01-15 03:45:29,-60.452435,-44.438818
2012-01-15 04:07:13,-60.46191,-44.437663
2012-01-15 04:33:53,-60.469128,-44.412412
2012-01-15 04:48:28,-60.475119,-44.408738
2012-01-15 06:01:01,-60.525755,-44.404578
2012-01-15 07:24:00,-60.58786,-44.466999
2012-01-15 09:13:55,-60.683859,-44.590903
2012-01-15 09:17:55,-60.683684,-44.590969
2012-01-15 09:21:55,-60.683644,-44.590862
2012-01-15 09:25:55,-60.683814,-44.590971
2012-01-15 09:29:55,-60.683371,-44.590928
2012-01-15 09:33:55,-60.68363,-44.590682
2012-01-15 09:37:55,-60.68362,-44.590198
2012-01-15 09:41:55,-60.683656,-44.589946
2012-01-15 09:45:55,-60.68378,-44.589647
2012-01-15 09:49:55,-60.683828,-44.589617
2012-01-15 09:53:55,-60.683848,-44.589483
2012-01-15 09:57:55,-60.683818,-44.589776
2012-01-15 10:01:55,-60.683978,-44.589706
2012-01-15 10:05:55,-60.683789,-44.589556
2012-01-15 10:09:55,-60.683932,-44.589655
2012-01-15 12:13:54,-60.684009,-44.589618
2012-01-15 14:13:54,-60.683873,-44.589683
2012-01-15 16:13:54,-60.683776,-44.589606
2012-01-15 18:13:53,-60.684028,-44.589553
2012-01-15 21:02:49,-60.617259,-44.56526
2012-01-15 21:07:08,-60.615753,-44.565507
2012-01-15 21:36:29,-60.588815,-44.552096
2012-01-15 21:41:25,-60.583988,-44.550483
2012-01-15 21:48:24,-60.576761,-44.550326
2012-01-15 21:54:03,-60.570154,-44.549322
2012-01-15 22:00:15,-60.567637,-44.549925
2012-01-15 22:09:50,-60.557207,-44.551382
2012-01-15 22:15:33,-60.551611,-44.551446
2012-01-15 22:30:12,-60.537008,-44.564674
2012-01-15 22:43:13,-60.527615,-44.590432
2012-01-15 22:48:46,-60.521742,-44.597745
2012-01-15 23:38:53,-60.505871,-44.695351
2012-01-15 23:46:19,-60.505561,-44.702181
2012-01-15 23:51:34,-60.504017,-44.709138
2012-01-15 23:56:24,-60.502787,-44.714564
2012-01-16 00:06:18,-60.500112,-44.723927
2012-01-16 00:12:58,-60.496619,-44.736024
2012-01-16 00:18:47,-60.493576,-44.744378
2012-01-16 00:27:15,-60.493485,-44.757111
2012-01-16 00:51:34,-60.482752,-44.805667
2012-01-16 00:57:40,-60.482144,-44.809251
2012-01-16 01:04:00,-60.481046,-44.810636
2012-01-16 01:33:29,-60.472984,-44.828779
2012-01-16 02:19:50,-60.461387,-44.855081
2012-01-16 02:39:31,-60.457322,-44.865238
2012-01-16 02:49:35,-60.455077,-44.860915
2012-01-16 02:59:01,-60.452238,-44.865711
2012-01-16 03:31:14,-60.443139,-44.870304
2012-01-16 04:01:29,-60.44533,-44.861506
2012-01-16 04:35:31,-60.448976,-44.8621
2012-01-16 04:42:16,-60.449136,-44.862855
2012-01-16 04:47:28,-60.449453,-44.863512
2012-01-16 04:52:56,-60.44943,-44.865795
2012-01-16 05:01:10,-60.449645,-44.865546
2012-01-16 05:14:47,-60.457316,-44.861909
2012-01-16 05:38:56,-60.472846,-44.83983
2012-01-16 06:49:30,-60.517026,-44.79275
2012-01-16 07:13:18,-60.538628,-44.786613
2012-01-16 09:12:09,-60.643622,-44.623657
2012-01-16 09:58:33,-60.683969,-44.59075
2012-01-16 10:02:33,-60.683911,-44.590347
2012-01-16 10:06:33,-60.683939,-44.590476
2012-01-16 10:10:33,-60.683888,-44.590749
2012-01-16 10:14:33,-60.683752,-44.590522
2012-01-16 10:18:33,-60.683778,-44.590642
2012-01-16 10:22:33,-60.683727,-44.589764
2012-01-16 10:26:33,-60.683782,-44.589569
2012-01-16 10:30:32,-60.683994,-44.589909
2012-01-16 10:34:32,-60.683943,-44.589703
2012-01-16 10:38:32,-60.683719,-44.58982
2012-01-16 10:42:32,-60.683796,-44.589611
2012-01-16 10:46:32,-60.683857,-44.589591
2012-01-16 10:50:32,-60.683584,-44.589573
2012-01-16 10:54:32,-60.683859,-44.589556
2012-01-16 12:58:32,-60.683881,-44.589558
2012-01-16 14:58:32,-60.683945,-44.589353
2012-01-16 16:58:31,-60.683916,-44.59002
2012-01-16 18:58:31,-60.684054,-44.589109
2012-01-16 20:58:30,-60.683628,-44.589911
2012-01-16 23:53:16,-60.587552,-44.591025
2012-01-17 00:01:16,-60.587405,-44.590421
2012-01-17 00:05:16,-60.587024,-44.591009
2012-01-17 00:09:16,-60.587363,-44.590381
2012-01-17 00:13:16,-60.586856,-44.591702
2012-01-17 00:17:16,-60.587258,-44.590425
2012-01-17 00:21:16,-60.58738,-44.591374
2012-01-17 00:25:16,-60.587266,-44.591756
2012-01-17 00:29:16,-60.587596,-44.591953
2012-01-17 00:33:16,-60.587393,-44.590263
2012-01-17 00:37:16,-60.586954,-44.59059
2012-01-17 00:45:16,-60.587185,-44.590811
2012-01-17 00:49:16,-60.587347,-44.590956
2012-01-17 08:40:09,-60.540256,-44.451796
2012-01-17 09:25:21,-60.546903,-44.44509
2012-01-17 09:36:28,-60.546466,-44.445971
2012-01-17 09:41:57,-60.545741,-44.446763
2012-01-17 12:32:12,-60.683788,-44.590719
2012-01-17 12:36:11,-60.683892,-44.590512
2012-01-17 12:40:11,-60.684032,-44.590466
2012-01-17 12:44:11,-60.6839,-44.590536
2012-01-17 12:48:11,-60.683637,-44.590427
2012-01-17 12:52:11,-60.683789,-44.589813
2012-01-17 12:56:11,-60.683694,-44.589669
2012-01-17 13:00:11,-60.683795,-44.589577
2012-01-17 13:04:11,-60.683665,-44.589616
2012-01-17 13:08:11,-60.683759,-44.589751
2012-01-17 13:12:11,-60.683803,-44.589554
2012-01-17 13:16:11,-60.68381,-44.589641
2012-01-17 13:20:11,-60.683775,-44.589486
2012-01-17 13:24:11,-60.683924,-44.589544
2012-01-17 13:28:11,-60.683779,-44.589548
2012-01-17 15:32:10,-60.683846,-44.590366
2012-01-17 17:32:10,-60.684042,-44.589272
2012-01-17 19:32:09,-60.683699,-44.589617
2012-01-17 21:32:09,-60.683814,-44.58959
2012-01-18 01:32:08,-60.683836,-44.589841
2012-01-18 03:32:08,-60.683682,-44.589809
2012-01-18 05:32:07,-60.683917,-44.589585
2012-01-18 07:32:07,-60.683968,-44.589443
2012-01-18 08:40:12,-60.683232,-44.590805
2012-01-18 08:44:11,-60.682996,-44.591006
2012-01-18 11:19:01,-60.636727,-44.317502
2012-01-18 11:54:38,-60.601646,-44.276861
2012-01-18 13:12:33,-60.593181,-44.25872
2012-01-18 13:28:13,-60.582082,-44.242537
2012-01-18 13:40:33,-60.574431,-44.23893
2012-01-18 13:55:50,-60.570039,-44.235321
2012-01-18 14:18:47,-60.569008,-44.235381
2012-01-18 14:24:27,-60.568511,-44.232782
2012-01-18 14:40:05,-60.562604,-44.241089
2012-01-18 14:56:47,-60.556943,-44.239711
2012-01-18 15:11:24,-60.55604,-44.240701
2012-01-18 15:22:04,-60.556167,-44.245782
2012-01-18 15:55:25,-60.552732,-44.260459
2012-01-18 16:11:06,-60.550078,-44.255248
2012-01-18 16:16:24,-60.548268,-44.254054
2012-01-18 16:21:21,-60.547774,-44.256558
2012-01-18 16:47:44,-60.548878,-44.263625
2012-01-18 18:10:12,-60.583626,-44.365586
