Dep_ID,Location,Species,Date_deployed,Time_deployed,Date_retreived,Time_retreived,GPS,TDR,Bill_length [mm],Bill_depth [mm],Weight_deployment [kg],Weight_return [kg],Sex,Stage [a],Nest_on_dep [b],Nest_on_return,Notes,Nest_lat [deg N],Nest_lon [deg E]
SIC001,"South Orkneys, Signy Island",Chinstrap penguin,29/12/2011,1400,01/01/2012,1757,None,A08267,50.2,NaN,4.4,4.5,NaN,Incubation,NaN,NaN,GPS tags didn't work,NaN,NaN
SIC002,"South Orkneys, Signy Island",Chinstrap penguin,29/12/2011,1500,01/01/2012,1757,None,A08265,47.3,NaN,3.8,4.5,NaN,Incubation,NaN,NaN,GPS tags didn't work,NaN,NaN
SIC003,"South Orkneys, Signy Island",Chinstrap penguin,29/12/2011,1700,01/01/2012,1812,None,A08262,45.4,NaN,3.5,3.2,NaN,Incubation,NaN,NaN,GPS tags didn't work,NaN,NaN
SIC004,"South Orkneys, Signy Island",Chinstrap penguin,30/12/2011,1418,01/01/2012,1345,None,A08264,54.6,NaN,4.1,4.15,NaN,Incubation,NaN,NaN,No TDR,NaN,NaN
SIC005,"South Orkneys, Signy Island",Chinstrap penguin,30/12/2011,1441,02/01/2012,1520,29309,None,46.5,NaN,4.15,4.2,NaN,Incubation,NaN,NaN,TDR failed,NaN,NaN
SIC006,"South Orkneys, Signy Island",Chinstrap penguin,30/12/2011,1545,08/01/2012,1528,29414,None,47.3,NaN,3.2,NaN,NaN,Incubation,NaN,NaN,NaN,NaN,NaN
SIC007,"South Orkneys, Signy Island",Chinstrap penguin,30/12/2011,1602,02/01/2012,1950,29472,None,51.5,NaN,4.95,NaN,NaN,Incubation,NaN,NaN,Never went to sea.,NaN,NaN
SIC008,"South Orkneys, Signy Island",Chinstrap penguin,05/01/2012,1410,08/01/2012,1050,29421,A08265,51.4,NaN,4.8,4.7,NaN,Incubation,NaN,NaN,NaN,NaN,NaN
SIC009,"South Orkneys, Signy Island",Chinstrap penguin,05/01/2012,1524,08/01/2012,1340,29417,A08266,51,NaN,4.2,4.3,NaN,Incubation/Guard,NaN,NaN,No GPS data. ,NaN,NaN
SIC010,"South Orkneys, Signy Island",Chinstrap penguin,05/01/2012,1600,08/01/2012,800,IGOTU2,A08264,46.6,NaN,4.05,3.8,NaN,Incubation,NaN,NaN,No at sea GPS fixes.,NaN,NaN
SIC011,"South Orkneys, Signy Island",Chinstrap penguin,05/01/2012,1750,08/01/2012,1850,IGOTU5,A08262,49.2,NaN,5.2,5.5,NaN,Incubation,NaN,NaN,No at sea GPS fixes.,NaN,NaN
SIC012,"South Orkneys, Signy Island",Chinstrap penguin,23/01/2012,1645,28/01/2012,1545,29417,A08262,45.5,17.8,3.6,3.7,NaN,Guard,NaN,NaN,OK. Observer: SA. Nest stage: Broodguard,NaN,NaN
SIC013,"South Orkneys, Signy Island",Chinstrap penguin,23/01/2012,1715,28/01/2012,1620,29421,A08264,48.2,18.6,4.5,4.6,NaN,Guard,NaN,NaN,OK. Observer: SA. Nest stage: Broodguard,NaN,NaN
SIC014,"South Orkneys, Signy Island",Chinstrap penguin,23/01/2012,1735,29/01/2012,1535,None,A08265,48.3,18.2,3.5,3.3,NaN,Guard,NaN,NaN,OK. Observer: SA. Nest stage: Broodguard. ,NaN,NaN
SIC015,"South Orkneys, Signy Island",Chinstrap penguin,23/01/2012,1805,29/01/2012,1545,None,A08266,50.4,19,4.35,3.7,NaN,Guard,NaN,NaN,OK. Observer: SA. Nest stage: Broodguard. ,NaN,NaN
SIC016,"South Orkneys, Signy Island",Chinstrap penguin,23/01/2012,1835,28/01/2012,1737,None,A08267,45.4,16.4,3.7,4.1,NaN,Guard,NaN,NaN,OK. Observer: SA. Nest stage: Broodguard.,NaN,NaN
SIC017,"South Orkneys, Signy Island",Chinstrap penguin,23/01/2012,1900,28/01/2012,1730,None,A07250,49.5,15.8,4.15,4.3,NaN,Guard,NaN,NaN,Observer: SA. Nest stage: Broodguard. Battery failed in tag - sent away for download. Data appear ok until 03:37 on 16/02/2012 according to cefas. ,NaN,NaN
SIC018,"South Orkneys, Signy Island",Chinstrap penguin,10/02/2012,1740,15/02/2012,1911,29417,A08262,47.2,17.6,3.9,3.5,NaN,Guard,NaN,NaN,OK. Observer: SA. Nest stage: Broodguard,NaN,NaN
SIC019,"South Orkneys, Signy Island",Chinstrap penguin,10/02/2012,1900,22/02/2012,1925,29421,A08264,47.5,18.7,4.1,3.6,NaN,Guard,NaN,NaN,OK. Observer: SA. Nest stage: Broodguard,NaN,NaN
SIC020,"South Orkneys, Signy Island, Gourlay",Chinstrap penguin,21/12/2013,NaN,01/01/2014,1420,29421,None,52.5,20.3,3.15,NaN,U,Incubation,Eggs - 1,NaN,TDR expired during deployment,-60.73056667,-45.58763333
SIC021,"South Orkneys, Signy Island, Gourlay",Chinstrap penguin,27/12/2013,NaN,03/01/2013,1530,29624,A09513,54,18.3,3.65,NaN,U,Incubation,Eggs - 2,NaN,NaN,-60.73056667,-45.58778333
SIC022,"South Orkneys, Signy Island, Gourlay",Chinstrap penguin,01/01/2014,NaN,05/01/2014,1400,29615,A08944,52,19.5,3.8,NaN,U,Incubation,Eggs - 2,NaN,NaN,-60.73068333,-45.58718333
SIC023,"South Orkneys, Signy Island, Gourlay",Chinstrap penguin,01/01/2014,NaN,06/01/2014,NaN,29322,A09517,46.6,17.6,3.2,NaN,U,Incubation,Eggs,NaN,NaN,-60.73041667,-45.58755
SIC024,"South Orkneys, Signy Island, Gourlay",Chinstrap penguin,05/01/2014,NaN,07/01/2014,2145,29421,A08750,52.9,19.9,4.65,NaN,U,Incubation,Eggs - 1 pipped,NaN,NaN,-60.73068333,-45.58723333
SIC025,"South Orkneys, Signy Island, Gourlay",Chinstrap penguin,01/01/2014,NaN,07/01/2014,1600,29330,None,48.1,18,3.95,NaN,U,Incubation,Eggs,NaN,TDR expired during deployment. Send TDR tag to CEFAS for download with no useful data downloaded,-60.73071667,-45.58675
SIC026,"South Orkneys, Signy Island, Gourlay",Chinstrap penguin,04/01/2014,NaN,09/01/2014,NaN,29624,A09513,51.4,19.2,3.7,NaN,U,Incubation,Eggs,NaN,NaN,-60.73066667,-45.58678333
SIC027,"South Orkneys, Signy Island, Gourlay",Chinstrap penguin,31/12/2013,NaN,10/01/2014,1045,29602,A08939,43.5,17.2,3.15,NaN,U,Incubation,Eggs,NaN,NaN,-60.73066667,-45.58713333
SIC028,"South Orkneys, Signy Island, Gourlay",Chinstrap penguin,07/01/2014,NaN,11/01/2014,1050,29322,A09514,NaN,NaN,NaN,NaN,U,Guard,Chicks,NaN,NaN,-60.73071667,-45.5868
SIC029,"South Orkneys, Signy Island, Gourlay",Chinstrap penguin,08/01/2014,NaN,11/01/2014,1129,29330,A08264,48,17,3.65,NaN,U,Guard,Eggs - 1 Chicks - 1,NaN,NaN,-60.73045,-45.58796667
SIC030,"South Orkneys, Signy Island, Gourlay",Chinstrap penguin,08/01/2014,NaN,11/01/2014,1103,29421,A08750,47,18.9,3.65,NaN,U,Guard,Chicks - 2,NaN,NaN,-60.73065,-45.58675
SIC031,"South Orkneys, Signy Island, Gourlay",Chinstrap penguin,07/01/2014,NaN,11/01/2014,1123,29626,A09517,54.4,19,4.05,NaN,U,Guard,Chicks - 2,NaN,NaN,-60.73043333,-45.58798333
SIC032,"South Orkneys, Signy Island, Gourlay",Chinstrap penguin,08/01/2014,NaN,11/04/2014,1136,29606,A08266,46,18.6,4,NaN,U,Guard,Chicks - 2,NaN,NaN,-60.73046667,-45.58803333
